77	105	25.0799		0.282293	4.57392
35	77	27		0.037037	0
35	34	23		0.0434783	0
35	101	508.615		1.01376	42.1826
77	101	52.0384		0.116038	2.2026
34	27	22.3607		0.105573	10.3048
27	55	23		0.173913	0
42	55	49.163		0.0846774	4.66685
42	57	50		0.04	0
57	88	23		0.173913	0
88	33	23.3452		0.143294	9.86581
33	26	22		0.0454545	0
26	58	25.1794		0.159619	0.727269
58	9	78.0256		0.0515938	1.4688
9	6	22.3607		0.0608515	10.3048
6	45	23.3452		0.0576235	9.86581
97	17	39.0512		0.0781345	2.93567
17	91	79.0253		0.0762453	1.45022
17	70	23		0.0869565	0
97	70	62.0322		0.0650025	1.84761
70	12	27.2947		0.0474337	8.42697
12	51	23.3452		0.186129	9.86581
51	69	23.3452		0.0509944	3.95966
69	68	23		0.0434783	0
68	84	50		0.06	0
84	93	25.0799		0.561401	4.57392
20	53	23		0.173913	0
103	20	25.0799		0.122803	4.57392
53	31	49		0.0816327	0
31	87	23.3452		0.100459	9.86581
87	41	23.3452		0.186129	9.86581
41	76	50		0.04	0
76	73	23		0.130435	0
73	32	23.3452		0.100459	9.86581
32	54	49		0.0816327	0
54	16	23.3452		0.186129	9.86581
16	99	27.074		0.11354	4.23639
16	65	23		0	0
65	99	50.04		0.100719	2.29061
65	49	23.3452		0.186129	9.86581
49	46	23.3452		0.186129	9.86581
46	83	23		0.257253	4.76364
83	64	23.3452		0.186129	9.86581
64	63	23		0.0434783	0
63	5	27.2947		0.0474337	8.42697
5	81	23.3452		0.0147882	9.86581
63	81	50		0.06	0
104	40	25.0799		0.122803	4.57392
40	25	49.163		0.0439964	4.66685
25	71	22.3607		0.105573	10.3048
71	19	23		0.209593	6.84277
19	67	22.3607		0.195016	10.3048
67	14	23		0.213919	4.57392
14	11	26.3059		0.0496426	8.74616
11	10	50		0.04	0
14	10	76.1052		0.0145219	3.01279
5	4	49		0.0204082	0
11	4	27.2947		0.0474337	8.42697
4	44	23		0.0434783	0
11	44	50.1597		0.0829299	4.57392
90	44	24.0832		0.252591	4.76364
92	59	24.0832		0.211068	4.76365
59	80	84		1.08333	45
80	3	23		0.130435	0
3	8	23.3452		0.0576235	9.86581
8	10	23.3452		0.0708823	9.86581
10	21	54.1479		0.0212002	4.23639
8	21	77		0.012987	0
102	21	25.0799		0.122803	4.57392
21	22	27		0.037037	0
102	22	52.0384		0.116038	2.2026
94	22	26.0768		0.11799	4.39871
22	30	26.3059		0.0496426	8.74616
94	30	52.0384		0.116038	2.2026
30	72	23.3452		0.100459	9.86581
72	75	23		0.130435	0
75	39	50		0.04	0
39	86	23.3452		0.186129	9.86581
86	85	23		0.257253	4.76364
85	38	23.3452		0.143294	9.86581
38	37	27		0.037037	0
37	56	23		0.0434783	0
38	56	50		0.04	0
37	52	76.1052		0.053941	3.01279
52	66	23.3452		0.186129	9.86581
66	13	23		0.213919	4.57392
13	62	23.3452		0.100459	9.86581
62	7	23.3452		0.143294	9.86581
7	82	23		0.0799889	6.1155
82	48	23.3452		0.186129	9.86581
48	47	22		0.0909091	0
47	43	269.357		1.02599	39.2471
89	43	55.0364		0.0551699	2.08257
43	79	23		0.0367496	5.90614
89	79	78.0256		0.0644101	1.4688
79	60	80.1342		0.228965	9.86581
60	2	23		0.0869565	0
2	0	23.3452		0.100459	9.86581
0	78	23		0.0799889	6.1155
78	61	50		0.06	0
61	50	51.1597		0.0629936	4.57392
50	15	23.3452		0.0147882	9.86581
15	98	27.074		0.11354	4.23639
50	98	50.04		0.100719	2.29061
15	96	50.04		0.0607511	2.29061
56	24	49.163		0.0439964	4.66685
24	23	22		0.181818	0
23	29	22.3607		0.195016	10.3048
29	74	27		0.037037	0
23	74	49.163		0.0846774	4.66685
74	36	77		0.025974	0
36	100	52.0384		0.116038	2.2026
29	28	50		0.02	0
28	18	49.163		0.0439964	4.66685
18	95	50.04		0.120703	2.29061
